software,file,line,coverage,original,mutated,task,Status,ExitCode_blank,ExitCode,job,Elapsed,hours,megabytes,State_batch,State_blank,State_extern,ExitCode_batch,ExitCode_extern,passed
data.table,as.data.table.R,10,3,"as.data.table(as.data.frame(x, ...), ...) # we cannot assume as.data.frame will do copy, thus setDT changed to as.data.table #3230","as.data.table(as.data.frame( ...,x), ...) # we cannot assume as.data.frame will do copy, thus setDT changed to as.data.table #3230",22,1 NOTE,0:0,NOTE:installed package size,9789630,00:03:10,0.0527777777777778,340.578125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,as.data.table.R,144,84,"xi = x[[i]] = as.data.table(xi, keep.rownames=keep.rownames)  # we will never allow a matrix to be a column; always unpack the columns","xi = x[[i]] = as.data.table( keep.rownames=keep.rownames,xi)  # we will never allow a matrix to be a column; always unpack the columns",471,1 NOTE,0:0,NOTE:installed package size,9789630,00:03:37,0.0602777777777778,998.6796875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,as.data.table.R,155,1238,"empty_atomic = TRUE  # any empty atomic (not empty list()) should result in nrows=0L, #3727","empty_atomic = TRUE  # any empty atomic (not empty list()) should result in nrows=0L, #3727
break;",501,1 NOTE,0:0,NOTE:installed package size,9789630,00:03:07,0.0519444444444445,288.5625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,as.data.table.R,180,19579,if (eachnrow[i]>1L && nrow%%eachnrow[i]!=0L)   # in future: eachnrow[i]!=nrow,if (eachnrow[i]>1L && nrow%%eachnrow[i]>0L)   # in future: eachnrow[i]!=nrow,578,1 NOTE,0:0,NOTE:installed package size,9789630,00:02:29,0.0413888888888889,989.625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,as.data.table.R,180,19579,if (eachnrow[i]>1L && nrow%%eachnrow[i]!=0L)   # in future: eachnrow[i]!=nrow,if (eachnrow[i]>=1L && nrow%%eachnrow[i]!=0L)   # in future: eachnrow[i]!=nrow,582,1 NOTE,0:0,NOTE:installed package size,9789630,00:02:44,0.0455555555555556,602.3515625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,as.data.table.R,180,19579,if (eachnrow[i]>1L && nrow%%eachnrow[i]!=0L)   # in future: eachnrow[i]!=nrow,if (eachnrow[i]>0L && nrow%%eachnrow[i]!=0L)   # in future: eachnrow[i]!=nrow,585,1 NOTE,0:0,NOTE:installed package size,9789630,00:03:48,0.0633333333333333,360.765625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,as.data.table.R,183,316,"prefix = if (!isFALSE(.named[i]) && isTRUE(nchar(names(x)[i])>0L)) paste0(names(x)[i],""""."""") else """"""""  # test 2058.12","prefix = if (!isFALSE(.named[i]) && isTRUE(nchar(names(x)[i])!=0L)) paste0(names(x)[i],""""."""") else """"""""  # test 2058.12",604,1 NOTE,0:0,NOTE:installed package size,9789630,00:02:40,0.0444444444444444,728.2421875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,as.data.table.R,191,19263,"vnames[k] = if (length(nm) && !is.na(nm) && nm!="""""""") nm else paste0(""""V"""",i-n_null)  # i (not k) tested by 2058.14 to be the same as the past for now","vnames[k] = if (length(nm) && !is.na(nm) && nm>"""""""") nm else paste0(""""V"""",i-n_null)  # i (not k) tested by 2058.14 to be the same as the past for now",652,1 NOTE,0:0,NOTE:installed package size,9789630,00:02:50,0.0472222222222222,562.00390625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,as.data.table.R,199,5567,"setDT(ans, key=key) # copy ensured above; also, setDT handles naming","setDT( key=key,ans) # copy ensured above; also, setDT handles naming",699,1 NOTE,0:0,NOTE:installed package size,9789630,00:02:44,0.0455555555555556,366.015625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,between.R,80,5,"0, c(FALSE, TRUE), 0L, """"all"""", ops, verbose) # fix for #1819, turn on verbose messages","0, c( TRUE,FALSE), 0L, """"all"""", ops, verbose) # fix for #1819, turn on verbose messages",395,1 NOTE,0:0,NOTE:installed package size,9789637,00:03:06,0.0516666666666667,400.6640625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,55,264,"set(i, j=ic, value=chmatch(levels(i[[ic]]), levels(x[[xc]]), nomatch=0L)[i[[ic]]])  # nomatch=0L otherwise a level that is missing would match to NA values","set(i, j=ic, value=chmatch(levels(i[[ic]]), levels(x[[xc]]), nomatch=-1L)[i[[ic]]])  # nomatch=0L otherwise a level that is missing would match to NA values",162,1 NOTE,0:0,NOTE:installed package size,9789646,00:03:11,0.0530555555555556,696.51171875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,55,264,"set(i, j=ic, value=chmatch(levels(i[[ic]]), levels(x[[xc]]), nomatch=0L)[i[[ic]]])  # nomatch=0L otherwise a level that is missing would match to NA values","set(i, j=ic, value=chmatch(levels(i[[ic]]), levels(x[[xc]]), nomatch=0L)[i[[ic]]])  # nomatch=0L otherwise a level that is missing would match to NA values
break;",163,1 NOTE,0:0,NOTE:installed package size,9789646,00:03:11,0.0530555555555556,772.82421875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,55,264,"set(i, j=ic, value=chmatch(levels(i[[ic]]), levels(x[[xc]]), nomatch=0L)[i[[ic]]])  # nomatch=0L otherwise a level that is missing would match to NA values","set(i, j=ic, value=chmatch(levels(i[[ic]]), nomatch=0L, levels(x[[xc]]))[i[[ic]]])  # nomatch=0L otherwise a level that is missing would match to NA values",166,1 NOTE,0:0,NOTE:installed package size,9789646,00:03:09,0.0525,713.6484375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,55,264,"set(i, j=ic, value=chmatch(levels(i[[ic]]), levels(x[[xc]]), nomatch=0L)[i[[ic]]])  # nomatch=0L otherwise a level that is missing would match to NA values","set( j=ic,i, value=chmatch(levels(i[[ic]]), levels(x[[xc]]), nomatch=0L)[i[[ic]]])  # nomatch=0L otherwise a level that is missing would match to NA values",167,1 NOTE,0:0,NOTE:installed package size,9789646,00:03:09,0.0525,772.8125,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,61,3,"set(callersi, j=ic, value=val)  # factor in i joining to character in x will return character and not keep x's factor; e.g. for antaresRead #3581","set(callersi, j=ic, value=val)  # factor in i joining to character in x will return character and not keep x's factor; e.g. for antaresRead #3581
break;",198,1 NOTE,0:0,NOTE:installed package size,9789646,00:03:59,0.0663888888888889,691.85546875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,61,3,"set(callersi, j=ic, value=val)  # factor in i joining to character in x will return character and not keep x's factor; e.g. for antaresRead #3581","set(callersi, value=val, j=ic)  # factor in i joining to character in x will return character and not keep x's factor; e.g. for antaresRead #3581",200,1 NOTE,0:0,NOTE:installed package size,9789646,00:04:18,0.0716666666666667,842.98046875,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,61,3,"set(callersi, j=ic, value=val)  # factor in i joining to character in x will return character and not keep x's factor; e.g. for antaresRead #3581","set( j=ic,callersi, value=val)  # factor in i joining to character in x will return character and not keep x's factor; e.g. for antaresRead #3581",201,1 NOTE,0:0,NOTE:installed package size,9789646,00:03:41,0.0613888888888889,290.58984375,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
data.table,bmerge.R,94,5,"if (xclass==""""integer64"""") { w=i; wc=ic; wclass=iclass; } else { w=x; wc=xc; wclass=xclass; nm=rev(nm) }  # w is which to coerce","if (xclass>=""""integer64"""") { w=i; wc=ic; wclass=iclass; } else { w=x; wc=xc; wclass=xclass; nm=rev(nm) }  # w is which to coerce",386,1 NOTE,0:0,NOTE:installed package size,9789646,00:04:02,0.0672222222222222,290.16015625,COMPLETED,COMPLETED,COMPLETED,0:0,0:0,TRUE
